# 
{"kP":"0.04","kD":"0","kI":"0","density":"997","profile":["surface","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","surface","led: 0, 0, 125"]}

surface
EX20, 4853, 0.00


EX20, 67787, 1.93
EX20, 68801, 1.93
EX20, 69817, 1.93
EX20, 70830, 1.94
EX20, 71844, 1.95
EX20, 72859, 1.97
EX20, 73873, 2.00
EX20, 74887, 2.03
EX20, 75902, 2.05
EX20, 76916, 2.08
EX20, 77930, 2.10
EX20, 78945, 2.12
EX20, 79959, 2.13
EX20, 80973, 2.14
EX20, 81988, 2.14
EX20, 83002, 2.13
EX20, 84016, 2.13
EX20, 85032, 2.14
EX20, 86046, 2.14
EX20, 87059, 2.16
EX20, 88075, 2.17
EX20, 89088, 2.19
EX20, 90102, 2.22
EX20, 91118, 2.24
EX20, 92132, 2.26
EX20, 93146, 2.27
EX20, 94161, 2.28
EX20, 95175, 2.28
EX20, 96189, 2.27
EX20, 97205, 2.27
EX20, 98219, 2.27
EX20, 99233, 2.27
EX20, 100248, 2.28
EX20, 101262, 2.30
EX20, 102276, 2.32
EX20, 103291, 2.34
EX20, 104305, 2.36
EX20, 105319, 2.38
EX20, 106334, 2.40
EX20, 107348, 2.41
EX20, 108362, 2.41
EX20, 109378, 2.41
EX20, 110392, 2.40
EX20, 111406, 2.39
EX20, 112422, 2.39
EX20, 113436, 2.39
EX20, 114450, 2.40
EX20, 115465, 2.41

EX20, 116505, 2.43
EX20, 117519, 2.45
EX20, 118534, 2.46
EX20, 119548, 2.47
EX20, 120562, 2.48
EX20, 121577, 2.48
EX20, 122591, 2.48
EX20, 123605, 2.47
EX20, 124621, 2.46
EX20, 125635, 2.45
EX20, 126649, 2.45
EX20, 127664, 2.45


# dive: 0.4, 0.33, 40.0, 500.0, 0.0
EX20, 128693, 2.01
EX20, 129707, 2.02
EX20, 130723, 2.02
EX20, 131737, 2.01
EX20, 132751, 1.99
EX20, 133766, 1.95
EX20, 134780, 1.91
EX20, 135794, 1.86
EX20, 136810, 1.80
EX20, 137824, 1.74
EX20, 138838, 1.68
EX20, 139853, 1.63
EX20, 140867, 1.58
EX20, 141881, 1.55
EX20, 142897, 1.53
EX20, 143911, 1.51
EX20, 144925, 1.51
EX20, 145940, 1.50
EX20, 146954, 1.49
EX20, 147968, 1.48
EX20, 148983, 1.46
EX20, 149997, 1.43
EX20, 151011, 1.40
EX20, 152027, 1.37
EX20, 153041, 1.34
EX20, 154055, 1.30
EX20, 155070, 1.27
EX20, 156084, 1.25
EX20, 157098, 1.22
EX20, 158114, 1.21
EX20, 159128, 1.19
EX20, 160142, 1.18
EX20, 161157, 1.16
EX20, 162171, 1.15
EX20, 163185, 1.14
EX20, 164200, 1.12
EX20, 165214, 1.11
EX20, 166229, 1.09
EX20, 167244, 1.07
EX20, 168258, 1.06
EX20, 169272, 1.05
EX20, 170287, 1.03
EX20, 171301, 1.02
EX20, 172315, 1.01
EX20, 173331, 1.00
EX20, 174345, 0.99
EX20, 175359, 0.97
EX20, 176374, 0.95
EX20, 177388, 0.93
EX20, 178402, 0.92
EX20, 179418, 0.91
EX20, 180432, 0.89

EX20, 181473, 0.88
EX20, 182488, 0.87
EX20, 183502, 0.86
EX20, 184516, 0.85
EX20, 185532, 0.83
EX20, 186546, 0.82
EX20, 187560, 0.82
EX20, 188575, 0.81
EX20, 189589, 0.81
EX20, 190603, 0.81
EX20, 191619, 0.80
EX20, 192632, 0.80
EX20, 193646, 0.79
EX20, 194662, 0.78
EX20, 195676, 0.76
EX20, 196690, 0.75
