# 
{"kP":"2","kD":"0","kI":"0","density":"997","profile":["dive: 1.4, 0.30, 30.00, 300.00","surface"]}

dive: 1.4, 0.30, 30.00, 300.00
EX20, 00:23:47, -2.68, 2.71
EX20, 00:23:47, -2.68, 2.70
EX20, 00:23:47, -2.68, 2.69
EX20, 00:23:48, -2.68, 2.68
EX20, 00:23:48, -2.68, 2.67
EX20, 00:23:48, -2.68, 2.66
EX20, 00:23:48, -2.51, 2.65
EX20, 00:23:48, -2.51, 2.64
EX20, 00:23:48, -2.51, 2.63
EX20, 00:23:48, -2.51, 2.62
EX20, 00:23:48, -2.51, 2.61
EX20, 00:23:49, -2.51, 2.60
EX20, 00:23:49, -2.51, 2.59
EX20, 00:23:49, -2.51, 2.58
EX20, 00:23:49, -2.34, 2.57
EX20, 00:23:49, -2.34, 2.55
EX20, 00:23:49, -2.34, 2.54
EX20, 00:23:49, -2.34, 2.53
EX20, 00:23:49, -2.34, 2.52
EX20, 00:23:50, -2.34, 2.51
EX20, 00:23:50, -2.34, 2.50
EX20, 00:23:50, -2.34, 2.49
EX20, 00:23:50, -2.16, 2.48
EX20, 00:23:50, -2.16, 2.47
EX20, 00:23:50, -2.16, 2.45

EX20, 00:23:50, -2.16, 2.44
EX20, 00:23:50, -2.16, 2.43
EX20, 00:23:51, -2.16, 2.42
EX20, 00:23:51, -2.16, 2.41
EX20, 00:23:51, -2.16, 2.40
EX20, 00:23:51, -1.98, 2.39
EX20, 00:23:51, -1.98, 2.37
EX20, 00:23:51, -1.98, 2.36
EX20, 00:23:51, -1.98, 2.35
EX20, 00:23:52, -1.98, 2.34
EX20, 00:23:52, -1.98, 2.33
EX20, 00:23:52, -1.98, 2.31
EX20, 00:23:52, -1.98, 2.30
EX20, 00:23:52, -1.79, 2.29
EX20, 00:23:52, -1.79, 2.28
EX20, 00:23:52, -1.79, 2.27
EX20, 00:23:52, -1.79, 2.25
EX20, 00:23:53, -1.79, 2.24
EX20, 00:23:53, -1.79, 2.23
EX20, 00:23:53, -1.79, 2.22
EX20, 00:23:53, -1.79, 2.21
EX20, 00:23:53, -1.60, 2.19
EX20, 00:23:53, -1.60, 2.18
EX20, 00:23:53, -1.60, 2.17
EX20, 00:23:53, -1.60, 2.16
EX20, 00:23:54, -1.60, 2.15
EX20, 00:23:54, -1.60, 2.13
EX20, 00:23:54, -1.60, 2.12
EX20, 00:23:54, -1.60, 2.11
